percentage20_Donald_Trump,percentage20_Joe_Biden,cases,TotalPop,case_rate
0.904,0.086,981,23968,0.040929573
0.554,0.437,885,18482,0.047884428
0.804,0.176,56,5800,0.009655172
0.836,0.153,965,63247,0.015257641
0.806,0.188,712,39539,0.018007537
0.703,0.281,74,7251,0.010205489
0.529,0.452,2808,129504,0.021682728
0.837,0.154,664,43315,0.015329563
0.59,0.397,1933,73427,0.026325466
0.702,0.282,720,86016,0.008370536
0.57,0.414,7729,102397,0.075480727
0.692,0.284,781,38942,0.020055467
0.55,0.429,419,25817,0.016229616
0.625,0.344,136,6763,0.020109419
0.814,0.161,190,9132,0.020805957
0.795,0.189,27,3178,0.008495909
0.849,0.129,1297,21140,0.061352886
0.298,0.68,17017,818249,0.020796848
0.618,0.369,1242,51559,0.024088908
0.736,0.258,612,20809,0.029410351
0.62,0.362,161,7502,0.021460944
0.792,0.194,36,2053,0.017535314
0.663,0.32,803,12864,0.062422264
0.619,0.357,2982,131130,0.022740792
0.853,0.134,620,18304,0.033872378
0.742,0.242,337,22190,0.015187021
0.336,0.645,8564,163227,0.05246681
0.756,0.224,203,40886,0.004965025
0.669,0.317,171,27760,0.006159942
0.855,0.135,359,22130,0.016222323
0.78,0.209,353,29048,0.0121523
0.801,0.189,1102,37825,0.029134171
0.53,0.449,12003,248279,0.048344806
0.562,0.425,578,12426,0.046515371
0.501,0.462,1043,102366,0.01018893
0.663,0.326,340,17605,0.019312695
0.604,0.368,940,22660,0.041482789
0.63,0.345,134,25083,0.005342264
0.639,0.346,3029,220972,0.013707619
0.485,0.503,1277,27496,0.046443119
0.776,0.19,1368,21601,0.063330401
0.676,0.305,335,9930,0.033736153
0.606,0.366,6988,156332,0.044699742
0.825,0.159,338,8481,0.039853791
0.248,0.732,3303,212605,0.015535853
0.347,0.633,1446,201454,0.007177817
0.747,0.228,558,13832,0.040341238
0.615,0.367,6742,442216,0.015245943
0.574,0.41,7000,251664,0.027814864
0.524,0.458,658,67196,0.00979225
0.863,0.126,620,18166,0.034129693
0.593,0.378,1353,74644,0.018126038
0.523,0.461,13994,204281,0.068503679
0.826,0.156,227,10109,0.022455238
0.525,0.471,358,14415,0.024835241
0.34,0.654,470,12152,0.038676761
0.446,0.531,108,2837,0.038068382
0.585701782,0.39453118,2808.759225,3338,0.841449738
0.585701782,0.39453118,2808.759225,5784,0.485608441
0.585701782,0.39453118,2808.759225,298225,0.009418255
0.585701782,0.39453118,2808.759225,17957,0.156415839
0.585701782,0.39453118,2808.759225,917,3.062987159
0.585701782,0.39453118,2808.759225,2303,1.219608869
0.585701782,0.39453118,2808.759225,4974,0.564688224
0.585701782,0.39453118,2808.759225,100031,0.028078888
0.585701782,0.39453118,2808.759225,2537,1.107118339
0.585701782,0.39453118,2808.759225,2146,1.308834681
0.585701782,0.39453118,2808.759225,32434,0.086599224
0.585701782,0.39453118,2808.759225,57961,0.048459468
0.585701782,0.39453118,2808.759225,13745,0.204347706
0.585701782,0.39453118,2808.759225,13773,0.203932275
0.585701782,0.39453118,2808.759225,8129,0.345523339
0.585701782,0.39453118,2808.759225,1301,2.158923309
0.585701782,0.39453118,2808.759225,101135,0.027772376
0.585701782,0.39453118,2808.759225,9869,0.284604238
0.585701782,0.39453118,2808.759225,9757,0.287871192
0.585701782,0.39453118,2808.759225,7715,0.364064708
0.585701782,0.39453118,2808.759225,3275,0.857636405
0.585701782,0.39453118,2808.759225,6473,0.433919238
0.585701782,0.39453118,2808.759225,8810,0.318814895
0.585701782,0.39453118,2808.759225,1038,2.705933743
0.585701782,0.39453118,2808.759225,6889,0.407716537
0.585701782,0.39453118,2808.759225,9439,0.297569576
0.585701782,0.39453118,2808.759225,2475,1.134852212
0.585701782,0.39453118,2808.759225,682,4.118415286
0.585701782,0.39453118,2808.759225,5453,0.515085132
0.585701782,0.39453118,2808.759225,213849,0.013134311
